ch1,ch2
45494,22861
41256,21448
36413,19033
31379,20361
27020,20629
23484,19353
20751,17101
18767,16466
17536,17844
15362,19604
12608,22497
9717,25701
7081,28785
6380,20637
7858,20940
9619,21444
11668,21127
13915,20974
16275,23371
18658,26424
20907,28178
23045,28507
25028,28874
26842,30029
28348,30020
29948,31014
31678,30349
32725,29761
33058,29995
34255,28736
35765,27871
37045,25703
38801,22715
41491,23963
44114,24917
46544,24788
48646,23578
50272,21600
51252,19429
51619,19397
51471,19658
50911,24107
50213,28424
49501,32426
49219,35136
49689,36269
50261,36009
50743,34768
51098,33038
51995,31997
52763,31363
53450,30982
54138,30788
54842,30690
55438,30567
55784,30299
56184,29748
57352,28796
57998,27376
58079,25504
57660,23273
56818,20876
55660,18523
54229,17825
52525,17589
50554,17275
48328,16812
45949,16092
43489,15081
41053,13762
38749,12285
36587,10799
34689,9502
33409,8625
32178,8627
30936,8881
29612,9367
28172,10084
26641,10965
25057,11937
23636,12857
22515,13551
21462,13833
20455,13575
19432,12959
18316,12176
17345,10888
16685,9379
16469,8327
16731,7916
17221,7908
17898,8194
18713,8659
19562,8978
20296,9061
20738,8829
20729,8298
20198,7595
19207,7523
17906,8404
16528,9158
15292,9479
14365,9129
13824,8100
13674,8558
13852,10751
14246,13529
14698,16476
15046,18963
15143,20319
15636,20247
16375,18977
16820,17085
16928,15779
16731,14814
16326,14112
15834,13860
15370,14190
15036,15071
14908,16393
15007,17866
15337,19065
15855,19572
16478,19210
17084,18062
17550,16460
17730,14753
17500,13193
16887,11877
15968,10775
